group,sentence,true_label_name,lr_pred_name,phi3_pred_name,winner,lr_correct,phi3_correct,dim_negation,dim_hedging,dim_domain_specificity,dim_original,notes
divergence,The rebuilds are designed to improve the machines ' performance and product quality .,positive,positive,neutral,LR,TRUE,FALSE,0,0,0,0,"The phrase ""improve the machines' performance and product quality"" indicates positive improvement. Logistic Regression correctly predicts positive due to strong keywords like ""improve"" and ""quality"", while Phi-3 defaults to neutral because the benefit is implied rather than explicitly tied to financial outcomes."
divergence,Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices .,neutral,positive,neutral,Phi-3,FALSE,TRUE,0,0,0,0,"The phrase ""changing its pricing cycle due to the increase of raw material prices"" reflects a reactive business adjustment. Logistic Regression over-predicts positive due to business-related terms, while Phi-3 correctly classifies it as neutral by interpreting it as a factual operational change."
divergence,"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",neutral,positive,neutral,Phi-3,FALSE,TRUE,0,0,0,0,"The phrase ""generated by exports to customers in Western Europe"" describes business activity without clear improvement. Logistic Regression predicts positive due to association with exports, while Phi-3 correctly identifies it as neutral because no financial gain or decline is stated."
divergence,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,positive,neutral,LR,TRUE,FALSE,0,0,0,1,"The phrase ""will become the second largest rental services provider"" indicates forward-looking improvement. Logistic Regression predicts positive based on strong lexical cues, while Phi-3 classifies it as neutral because the outcome is not yet realized."
divergence,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,positive,neutral,Phi-3,FALSE,TRUE,0,0,0,0,"The phrase ""generated a turnover of 76.5 mln eur"" is a factual financial report. Logistic Regression predicts positive due to numeric and financial cues, while Phi-3 correctly classifies it as neutral because the sentence does not indicate change or performance direction."
divergence,"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",positive,positive,neutral,LR,TRUE,FALSE,0,0,0,0,"The phrase ""focus R&D...towards dynamic end-to-end solutions"" implies strategic improvement. Logistic Regression classifies this as positive due to words like ""focus"" and ""solutions"". Phi-3 predicts neutral because the statement reflects positioning rather than a measurable financial outcome, aligning with its conservative interpretation under the prompt constraints."
divergence,Orders received grew by 55 % year-on-year to EUR732m .,positive,positive,neutral,LR,TRUE,FALSE,0,0,0,0,"The phrase ""Orders received grew by 55%"" clearly indicates strong positive financial performance. Logistic Regression correctly captures this through the term ""grew"". Phi-3 incorrectly predicts neutral, likely due to conservative bias introduced by the prompt, which causes it to under-predict positive when growth is stated without broader contextual framing."
divergence,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive,positive,negative,LR,TRUE,FALSE,0,0,0,0,"The phrase ""net loss narrowed"" indicates an improvement despite remaining negative overall. Logistic Regression correctly interprets the directional improvement as positive. Phi-3 predicts negative because it focuses on the presence of ""loss"" and does not fully integrate the improvement signal, reflecting a limitation in handling nuanced directional change."
divergence,"In addition to the demand in Finland , the export of lining stone products also increased .",positive,positive,neutral,LR,TRUE,FALSE,0,0,0,0,"The phrase ""export...also increased"" indicates positive growth. Logistic Regression correctly predicts positive based on ""increased"". Phi-3 predicts neutral because the increase is presented as contextual information rather than explicitly framed as financial success, aligning with its conservative classification behavior."
divergence,"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .",neutral,negative,neutral,Phi-3,FALSE,TRUE,0,0,0,0,"The phrase ""net sales...and operating profit"" reports financial values without indicating change. Logistic Regression incorrectly predicts negative, likely due to lack of directional keywords and potential bias from training distribution. Phi-3 correctly classifies it as neutral by recognizing it as purely descriptive financial reporting."
divergence,Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,neutral,positive,neutral,Phi-3,FALSE,TRUE,0,0,0,0,"The phrase ""wrapped up the divestment"" describes a corporate transaction without clear sentiment. Logistic Regression predicts positive due to association with financial activity, while Phi-3 correctly classifies it as neutral by interpreting the statement as procedural rather than beneficial or harmful."
divergence,"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",positive,neutral,positive,Phi-3,FALSE,TRUE,0,0,0,0,"The phrase ""we're pleased...with the quality"" expresses explicit positive sentiment. Logistic Regression incorrectly predicts neutral, likely due to reliance on domain vocabulary rather than sentiment expressions. Phi-3 correctly identifies the sentiment as positive by interpreting subjective language through contextual understanding."
divergence,Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,neutral,positive,neutral,Phi-3,FALSE,TRUE,0,1,0,1,"The phrase ""expects its net sales...to be on the level"" is forward-looking but neutral. Logistic Regression over-predicts positive due to the word ""expects"", while Phi-3 correctly classifies it as neutral because no improvement or decline is stated."
divergence,The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive,positive,neutral,LR,TRUE,FALSE,0,0,0,0,"The phrase ""moving forward in our quality commitments"" implies improvement. Logistic Regression correctly predicts positive based on improvement-related terms. Phi-3 predicts neutral because the benefit is abstract and not directly tied to financial performance, consistent with its conservative bias."
divergence,`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral,neutral,negative,LR,TRUE,FALSE,0,1,0,0,"The phrase ""should ask why these practices were allowed"" implies criticism. Logistic Regression predicts neutral due to lack of explicit negative keywords, while Phi-3 infers negative sentiment through contextual reasoning."
divergence,The new units should become one of the largest ones within the company .,neutral,neutral,positive,LR,TRUE,FALSE,0,1,0,0,"The phrase ""should become one of the largest ones"" suggests future growth. Logistic Regression predicts neutral due to lack of immediate outcome, while Phi-3 interprets ""largest"" as a positive signal."
divergence,"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,positive,neutral,LR,TRUE,FALSE,0,0,0,1,"The phrase ""will be able to further develop our business"" expresses future positive intent. Logistic Regression predicts positive from keywords like ""develop"", while Phi-3 defaults to neutral due to conservative prompt constraints."
